dataset,sefs_tau,acc_mean,acc_std
Prostate,0.3,0.680392,0.047059
Prostate,0.5,0.64902,0.063051
Prostate,0.8,0.643137,0.051356
Prostate,1,0.635294,0.021834
Prostate,1.2,0.680392,0.066954
Prostate,1.3,0.639216,0.043581
Prostate,1.4,0.62549,0.015686
Prostate,1.5,0.629412,0.011433
Prostate,1.8,0.645098,0.069987
Prostate,2,0.627451,0.019608
Prostate,3,0.664706,0.068879
AMLALL,0.3,0.761111,0.063586
AMLALL,0.5,0.752778,0.05372
AMLALL,0.8,0.786111,0.046148
AMLALL,1,0.761111,0.098758
AMLALL,1.2,0.758333,0.054575
AMLALL,1.3,0.744444,0.077877
AMLALL,1.4,0.738889,0.077778
AMLALL,1.5,0.744444,0.073283
AMLALL,1.8,0.688889,0.104157
AMLALL,2,0.725,0.072115
AMLALL,3,0.641667,0.153759
SRBCT,0.3,0.520482,0.023362
SRBCT,0.5,0.513253,0.0393
SRBCT,0.8,0.503614,0.083958
SRBCT,1,0.436145,0.038403
SRBCT,1.2,0.443373,0.045337
SRBCT,1.3,0.443373,0.026833
SRBCT,1.4,0.433735,0.086881
SRBCT,1.5,0.390361,0.055787
SRBCT,1.8,0.409639,0.064657
SRBCT,2,0.390361,0.044169
SRBCT,3,0.424096,0.069588
