dataset,sefs_tau,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,open_gates_mean,n_success,n_total
Prostate,0.3,0.680392,0.047059,0.121847,0.05255,0.131757,0.070109,827.4448,5,5
Prostate,0.5,0.64902,0.063051,0.11131,0.098349,0.098232,0.098701,751.2445,5,5
Prostate,0.8,0.643137,0.051356,0.091928,0.054376,0.085953,0.073758,693.3393,5,5
Prostate,1.0,0.635294,0.021834,0.090021,0.034356,0.068709,0.02571,935.6486,5,5
Prostate,1.2,0.680392,0.066954,0.128881,0.070538,0.141371,0.106397,606.4421,5,5
Prostate,1.3,0.639216,0.043581,0.084288,0.036391,0.078521,0.058768,569.715,5,5
Prostate,1.4,0.62549,0.015686,0.070447,0.00844,0.057417,0.016669,510.5727,5,5
Prostate,1.5,0.629412,0.011433,0.073146,0.011575,0.06076,0.011696,589.6065,5,5
Prostate,1.8,0.645098,0.069987,0.100125,0.077684,0.097625,0.109685,902.6965,5,5
Prostate,2.0,0.627451,0.019608,0.074463,0.009832,0.060076,0.021555,365.8423,5,5
Prostate,3.0,0.664706,0.068879,0.112257,0.079189,0.120717,0.112614,1502.9483,5,5
AMLALL,0.3,0.761111,0.063586,0.20905,0.12989,0.273536,0.144259,707.1388,5,5
AMLALL,0.5,0.752778,0.05372,0.191775,0.085094,0.25532,0.112461,485.7266,5,5
AMLALL,0.8,0.786111,0.046148,0.239486,0.086027,0.323397,0.101889,266.6712,5,5
AMLALL,1.0,0.761111,0.098758,0.231958,0.125015,0.297746,0.15908,157.3976,5,5
AMLALL,1.2,0.758333,0.054575,0.170889,0.084475,0.24934,0.117278,101.8876,5,5
AMLALL,1.3,0.744444,0.077877,0.167485,0.135152,0.237642,0.167923,124.7993,5,5
AMLALL,1.4,0.738889,0.077778,0.165938,0.13292,0.219889,0.162014,117.5914,5,5
AMLALL,1.5,0.744444,0.073283,0.166524,0.134836,0.229294,0.167864,83.329,5,5
AMLALL,1.8,0.688889,0.104157,0.128525,0.078076,0.154325,0.121896,89.4717,5,5
AMLALL,2.0,0.725,0.072115,0.129442,0.132537,0.179608,0.168477,29.978,5,5
AMLALL,3.0,0.641667,0.153759,0.153092,0.097828,0.134982,0.190162,120.9185,5,5
SRBCT,0.3,0.520482,0.023362,0.221601,0.012471,0.132694,0.016968,51.0077,5,5
SRBCT,0.5,0.513253,0.0393,0.243598,0.040824,0.163024,0.050417,20.3529,5,5
SRBCT,0.8,0.503614,0.083958,0.25333,0.125718,0.139572,0.101705,6.2497,5,5
SRBCT,1.0,0.436145,0.038403,0.176331,0.086597,0.065291,0.047321,5.1452,5,5
SRBCT,1.2,0.443373,0.045337,0.19458,0.088197,0.071578,0.070896,1.0597,5,5
SRBCT,1.3,0.443373,0.026833,0.154759,0.055253,0.05422,0.038522,1.3814,5,5
SRBCT,1.4,0.433735,0.086881,0.1569,0.135877,0.068252,0.078793,1.3621,5,5
SRBCT,1.5,0.390361,0.055787,0.095408,0.079561,0.023274,0.048352,4.9591,5,5
SRBCT,1.8,0.409639,0.064657,0.141704,0.162074,0.067435,0.08307,2.6223,5,5
SRBCT,2.0,0.390361,0.044169,0.074161,0.06893,0.02285,0.024337,0.496,5,5
SRBCT,3.0,0.424096,0.069588,0.139809,0.100614,0.053704,0.052079,46.2994,5,5
